jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
GEORGIA,8918129,40217,613,2387,,13656,23561,376656,82992,249426,44238
HAWAII,1262124,3213,33,333,,944,1903,60525,10827,41078,8620
IDAHO,1395140,3452,31,594,,241,2586,38799,7671,28389,2739
ILLINOIS,12712016,69365,780,4220,,22582,41783,403486,76088,287025,40373
INDIANA,6226537,20294,316,1803,,6373,11802,211929,42168,148670,21091
IOWA,2952904,8499,44,782,,1160,6513,85775,17928,62214,5633
KANSAS,2733697,10330,122,1142,,1812,7254,109771,20146,81115,8510
KENTUCKY,4141835,10152,236,1238,,3268,5410,105209,25902,70535,8772
LOUISIANA,4506685,28844,574,1616,,6564,20090,199153,45359,134080,19714
MAINE,1314985,1364,18,315,,289,742,31740,6341,24096,1303
MARYLAND,5561332,38961,521,1317,,12772,24351,202474,36704,129888,35882
MASSACHUSETTS,6407382,29489,171,1794,,7484,20040,158150,34497,101605,22048
MICHIGAN,10104206,49737,643,5482,,11336,32276,309805,64233,194988,50584
MINNESOTA,5096546,13751,113,2123,,4070,7445,155019,28048,113453,13518
MISSISSIPPI,2900768,8568,227,1161,,2503,4677,100980,27661,65440,7879
MISSOURI,5759532,28226,354,1479,,6630,19763,224629,40472,158264,25893
MONTANA,926920,2723,30,273,,233,2187,27215,3515,22082,1618
NEBRASKA,1747704,5393,40,620,,1138,3595,61512,9826,46399,5287
NEVADA,2332898,14379,172,954,,4905,8348,98215,23142,52438,22635
NEW HAMPSHIRE,1299169,2202,17,466,,500,1219,26658,4979,19723,1956
NEW JERSEY,8685166,30943,392,1331,,13076,16144,211313,41030,139977,30306
NEW MEXICO,1903006,13081,169,1039,,2062,9811,79895,19924,52069,7902
NEW YORK,19280727,84914,889,3608,,33506,46911,422734,70696,311036,41002
NORTH CAROLINA,8540468,38244,532,2339,,11782,23591,355328,101193,227147,26988
NORTH DAKOTA,636308,558,8,177,,43,330,12493,2040,9516,937
OHIO,11450143,38787,506,4744,,17429,16108,419337,96518,282168,40651
OKLAHOMA,3523546,17635,186,1557,,3090,12802,149472,35244,101271,12957
OREGON,3591363,10724,90,1283,,2751,6600,166475,30072,117868,18535
PENNSYLVANIA,12394471,50998,650,3535,,18474,28339,299611,54443,214199,30969
RHODE ISLAND,1079916,2673,26,320,,731,1596,31166,5465,21623,4078
SOUTH CAROLINA,4197892,33160,286,1772,,5468,25634,190456,43739,130991,15726
SOUTH DAKOTA,770621,1319,17,336,,112,854,14885,3148,10890,847
TENNESSEE,5893298,41113,357,2282,,8863,29611,254991,60386,169828,24777
TEXAS,22471549,121554,1364,8388,,35817,75985,1010702,220118,696507,94077
UTAH,2420708,5647,46,967,,1236,3398,97762,15225,74889,7648
VERMONT,621233,713,16,160,,78,459,14559,3435,10537,587
VIRGINIA,7481332,20608,390,1816,,6899,11503,200368,28759,154154,17455
WASHINGTON,6207046,21330,190,2857,,5866,12417,300837,60632,196972,43233
WEST VIRGINIA,1812548,5110,68,346,,774,3922,46326,10994,31566,3766
WISCONSIN,5503533,11548,154,1136,,4067,6191,146710,23854,111482,11374
WYOMING,505887,1163,11,112,,67,973,16889,2738,13352,799
ALABAMA,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140
ALASKA,663253,4194,32,538,,537,3087,23975,4131,17249,2595
ARIZONA,5953007,30478,445,2006,,8579,19448,287345,56328,176112,54905
ARKANSAS,2775708,14670,189,1202,,2532,10747,112914,30118,75510,7286
