jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
ILLINOIS,12859995,49354,744,3549,4821,14910,28879,255729,46443,191634,17652
INDIANA,6619680,25653,373,1789,2404,7111,15765,171847,34410,123918,13519
IOWA,3123899,8936,72,851,1156,1047,6661,63957,14892,44723,4342
KANSAS,2911641,11353,128,1251,1615,1818,7792,79199,15362,56880,6957
KENTUCKY,4425092,9676,209,997,1492,3307,4668,96362,22260,66320,7782
LOUISIANA,4670724,25208,481,1260,1723,5550,17454,156629,35453,111435,9741
MAINE,1329328,1729,23,354,474,311,921,24327,4684,18829,814
MARYLAND,6006401,27462,516,1184,1666,9863,15417,139048,25678,100219,13151
MASSACHUSETTS,6794422,26562,128,1608,2075,5288,19071,114871,21890,84912,8069
MICHIGAN,9922576,41231,571,4163,6450,7796,26414,187101,40041,131296,15764
MINNESOTA,5489594,13319,133,1686,2321,3771,7094,121984,19299,94704,7981
MISSISSIPPI,2992333,8254,259,862,1203,2294,4498,84790,24799,55748,4243
MISSOURI,6083672,30261,502,1854,2553,6376,20830,173642,34006,122637,16999
MONTANA,1032949,3611,36,431,547,210,2818,27100,3838,20844,2418
NEBRASKA,1896190,5212,62,652,873,994,3283,42495,6422,32072,4001
NEVADA,2890845,20118,178,1238,1688,6287,11965,77137,22360,43426,11351
NEW HAMPSHIRE,1330608,2652,14,461,627,468,1543,23229,3467,18871,891
NEW JERSEY,8958013,22879,363,1019,1373,9729,11414,145701,27960,105963,11778
NEW MEXICO,2085109,13681,117,1215,1672,2485,9407,77094,17085,51483,8526
NEW YORK,,,,,,,,,,,
NORTH CAROLINA,10042802,34852,517,1939,2684,8825,22826,276183,74841,187907,13435
NORTH DAKOTA,756927,1812,21,276,345,148,1298,16020,2997,11440,1583
OHIO,11613423,33898,500,4154,5149,12554,15695,300525,69303,213993,17229
OKLAHOMA,3911338,16506,234,1352,1849,3005,11418,112878,28406,74022,10450
OREGON,4028977,10468,99,1164,1593,2146,6630,118719,18336,89836,10547
PENNSYLVANIA,12802503,40339,658,3122,4305,13003,22373,232085,39664,180287,12134
RHODE ISLAND,1056298,2562,29,338,459,556,1518,20043,3947,14707,1389
SOUTH CAROLINA,4896146,24700,399,1707,2297,3931,18073,161245,34551,113724,12970
SOUTH DAKOTA,858469,3289,32,441,495,216,2546,16680,2960,12532,1188
TENNESSEE,6600299,40400,406,1966,2676,7474,29844,193796,43247,137679,12870
TEXAS,27469114,113227,1316,8925,12250,31934,67727,777739,153054,557200,67485
UTAH,2995919,7071,54,1098,1645,1326,4046,89278,12468,68103,8707
VERMONT,626042,739,10,121,136,101,492,8806,1968,6660,178
VIRGINIA,8382993,16399,383,1493,2340,4441,9235,156470,21340,127019,8111
WASHINGTON,7170351,20394,211,2193,2705,5449,12029,248369,50993,170509,26867
WEST VIRGINIA,1844128,6231,70,420,672,760,4729,37251,9170,25842,2239
WISCONSIN,5771337,17647,240,1224,1780,5232,10395,113924,19554,83385,10985
WYOMING,586107,1302,16,125,173,59,1054,11151,1762,8797,592
ALABAMA,4860545,25878,407,,1915,4687,18869,143259,34045,97498,11716
ALASKA,741522,5966,52,,1053,850,4011,24876,4053,17766,3057
ARIZONA,6908642,32542,389,,3304,7045,21804,207317,38216,150618,18483
ARKANSAS,2988231,16563,217,,2214,2125,12007,98092,23814,67091,7187
CALIFORNIA,39296476,174796,1930,,13702,54789,104375,1002070,188304,637010,176756
COLORADO,5530105,19030,189,,3635,3525,11681,152146,23825,108680,19641
CONNECTICUT,3587685,8169,79,,791,2711,4588,64875,10107,47642,7126
DELAWARE,952698,4859,58,,311,1359,3131,26370,5028,19812,1530
FLORIDA,20656589,88700,1111,,7598,20175,59816,553812,100325,410352,43135
GEORGIA,10313620,40268,682,,3381,12114,24091,307305,62715,218127,26463
HAWAII,1428683,3452,35,,601,985,1831,42353,5983,30871,5499
IDAHO,1680026,3876,49,,719,213,2895,29357,6318,20962,2077
ILLINOIS,12835726,56054,1061,,5003,17829,32161,263256,48193,195196,19867
INDIANA,6634007,26516,431,,2449,7291,16345,168460,33567,120454,14439
IOWA,3130869,9170,73,,1278,1150,6669,65888,15306,45580,5002
KANSAS,2907731,11665,132,,1618,1757,8158,82293,14759,60119,7415
KENTUCKY,4436113,10452,265,,1748,3371,5068,97713,20932,66833,9948
LOUISIANA,4686157,26477,555,,1819,5575,18528,154511,34689,109492,10330
MAINE,1330232,1649,20,,413,268,948,21908,4001,17131,776
MARYLAND,6024752,29019,536,,1827,10815,15841,139716,24832,100995,13889
MASSACHUSETTS,6823721,25975,135,,2141,5365,18334,106430,19204,79155,8071
MICHIGAN,9933445,45782,612,,7268,7123,30779,190249,39738,130249,20262
MINNESOTA,5525050,13365,101,,2349,3730,7185,117723,18582,90421,8720
MISSISSIPPI,2985415,8411,237,,1282,2433,4459,82521,23489,54725,4307
MISSOURI,6091176,31720,538,,2557,6576,22049,170661,31716,120649,18296
MONTANA,1038656,3886,37,,598,268,2983,28156,3966,21427,2763
NEBRASKA,1907603,5661,49,,1108,946,3558,43197,6459,32009,4729
NEVADA,2939254,19924,228,,1729,6338,11629,75922,18816,43949,13157
NEW HAMPSHIRE,1335015,2668,19,,609,431,1609,20323,2989,16454,880
NEW JERSEY,8978416,21861,378,,1454,8940,11089,138012,25229,101459,11324
NEW MEXICO,2085432,14585,139,,1527,2737,10182,81930,17280,52907,11743
NEW YORK,19836286,74315,629,,6281,22310,45095,305224,39850,250990,14384
NORTH CAROLINA,10156689,37767,678,,2847,9336,24906,277765,72082,190377,15306
NORTH DAKOTA,755548,1905,16,,356,181,1352,17451,3248,12249,1954
OHIO,11622554,35759,683,,5754,12574,16748,300945,67081,214102,19762
OKLAHOMA,3921207,17855,247,,2100,3174,12334,118010,29376,76358,12276
OREGON,4085989,10983,116,,1784,2307,6776,121716,16919,91507,13290
PENNSYLVANIA,12787085,40389,674,,4459,12314,22942,222394,35178,174147,13069
RHODE ISLAND,1057566,2529,29,,445,541,1514,18910,3650,14157,1103
SOUTH CAROLINA,4959822,25137,358,,2491,4071,18217,161534,33149,114455,13930
SOUTH DAKOTA,861542,3636,28,,526,274,2808,17207,3002,12705,1500
TENNESSEE,6649404,42459,495,,2803,7829,31332,191199,40607,135353,15239
TEXAS,27904862,121064,1478,,13446,33298,72842,769892,148796,552106,68990
UTAH,3044321,7406,74,,1560,1528,4244,90561,12938,68261,9362
VERMONT,623354,851,14,,170,78,589,9705,1884,7637,184
VIRGINIA,8414380,18495,482,,2830,4826,10357,157292,20159,127285,9848
WASHINGTON,7280934,22101,195,,3133,5649,13124,254994,49249,173423,32322
WEST VIRGINIA,1828637,6633,85,,684,720,5144,37282,9127,25657,2498
WISCONSIN,5772917,17716,232,,2005,4707,10772,111911,19498,82455,9958
WYOMING,584910,1431,20,,206,59,1146,11460,1771,8889,800
